fdc_id,food_name,calories,protein,carbs,fat,source
320320,"MILK, 2% ",,,,,USDA
320321,"MILK, 2% ",,,,,USDA
320322,"MILK, 2% ",,,,,USDA
320323,"MILK, 2% ",,,,,USDA
320324,"MILK, 2% ",,,,,USDA
320325,"Milk, 2%",,,,,USDA
320326,"Milk, 2%",,,,,USDA
320327,"Milk, 2%",,,,,USDA
320328,"Milk, 2%",,,,,USDA
320329,"Milk, 2%",,,,,USDA
320330,"MILK, 2% (WAVE 22E)",,,,,USDA
320331,"MILK, 2% (WAVE 22E)",,,,,USDA
320332,"MILK, 2% (WAVE 22E)",,,,,USDA
320333,"MILK, 2% (WAVE 22E)",,,,,USDA
320334,"MILK, 2% ",,,,,USDA
320335,"MILK, 2% ",,,,,USDA
320336,"MILK, 2% ",,,,1.97,USDA
320337,"MILK, 2% ",,,,,USDA
320338,"MILK, 2% ",,,,,USDA
320339,"MILK, 2% ",,,,,USDA
320340,"MILK, 2% ",,,,,USDA
320341,"MILK, 2% ",,,,,USDA
320342,"MILK, 2% ",,,,,USDA
320343,"MILK, 2% ",,,,,USDA
320344,"Milk, 2%",,,,,USDA
320345,"Milk, 2%",,,,,USDA
320346,"Milk, 2%",,,,,USDA
320347,"Milk, 2%",,,,,USDA
320348,"Milk, 2%",,,,,USDA
320349,"Milk, 2%",,,,,USDA
320350,"MILK, 2% (WAVE 22E)",,,,,USDA
320351,"MILK, 2% (WAVE 22E)",,,,,USDA
320353,"Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",,,,,USDA
320354,"Beef, eye of round roast, raw (ER37-R-5)",,,,,USDA
320355,"Beef, eye of round steak, raw (ES36-R-5) ",,,,,USDA
320356,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",,23.4,,3.46,USDA
320357,"Beef,  Eye of Round roast/steak, select, raw, comp13, lean (36BRERS/37BRERRS)",,,,,USDA
320358,"Beef, eye of round roast, raw (ER37-R-10)",,,,,USDA
320359,"Beef, eye of round roast, raw (ER37-R-11)",,,,,USDA
320360,"Beef, eye of round roast, raw (ER37-R-16)",,,,,USDA
320361,"Beef, eye of round roast, raw (ER37-R-17)",,,,,USDA
320362,"Beef, eye of round roast, raw (ER37-R-18)",,,,,USDA
320363,"Beef, eye of round roast, raw (ER37-R-22)",,,,,USDA
320364,"Beef, eye of round roast, raw (ER37-R-23)",,,,,USDA
320365,"Beef, eye of round roast, raw (ER37-R-28)",,,,,USDA
320366,"Beef, eye of round roast, raw (ER37-R-29)",,,,,USDA
320367,"Beef, eye of round roast, raw (ER37-R-35)",,,,,USDA
320368,"Beef, eye of round roast, raw (ER37-R-36)",,,,,USDA
320369,"Beef, eye of round steak, raw (ES36-R-10) ",,,,,USDA
320370,"Beef, eye of round steak, raw (ES36-R-11) ",,,,,USDA
320371,"Beef, eye of round steak, raw (ES36-R-16) ",,,,,USDA
320372,"Beef, eye of round steak, raw (ES36-R-17) ",,,,,USDA
320373,"Beef, eye of round steak, raw (ES36-R-18) ",,,,,USDA
320374,"Beef, eye of round steak, raw (ES36-R-22) ",,,,,USDA
320375,"Beef, eye of round steak, raw (ES36-R-23) ",,,,,USDA
320376,"Beef, eye of round steak, raw (ES36-R-28) ",,,,,USDA
320377,"Beef, eye of round steak, raw (ES36-R-29) ",,,,,USDA
320378,"Beef, eye of round steak, raw (ES36-R-35) ",,,,,USDA
320379,"Beef, eye of round steak, raw (ES36-R-36) ",,,,,USDA
320380,"Se - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",,,,,USDA
320381,"Minerals - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",,,,,USDA
320382,"Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",,,,,USDA
